"date","cluster","rain","snow","thunderstorm","visibility","crosswind","scheduled"
"02/02/2014",4,0,0,0,5.4,3.5,777
"02/03/2014",9,0,1,0,2.4,7.1,967
"02/04/2014",6,0,0,0,10,7.4,907
"02/05/2014",16,1,1,0,4.3,7.2,909
"02/06/2014",6,0,0,0,8.7,9.7,949
"02/07/2014",6,0,0,0,10,6.5,962
"02/08/2014",2,0,0,0,10,6.4,706
"02/09/2014",2,0,0,0,10,3,814
"02/10/2014",15,0,1,0,7,10.4,963
"02/11/2014",6,0,0,0,10,6.1,912
"02/12/2014",6,0,0,0,10,6.7,916
"02/13/2014",9,1,1,0,2.7,13.3,961
"02/14/2014",18,0,1,0,8.7,22.4,991
"02/15/2014",2,0,0,0,3.3,13.7,761
"02/17/2014",12,0,0,0,8.3,6.5,980
"02/18/2014",9,0,1,0,3.9,3.6,957
"02/19/2014",7,1,0,0,6.4,8.4,953
"02/20/2014",8,0,0,0,10,11,981
"02/21/2014",4,0,0,0,2,6,996
"02/22/2014",2,0,0,0,10,9.3,777
"02/23/2014",6,0,0,0,10,5.3,852
"02/24/2014",10,1,0,0,10,10.5,995
"02/25/2014",8,0,0,0,10,14.9,955
"02/26/2014",8,0,0,0,10,13.6,956
"02/27/2014",6,0,0,0,10,10.8,982
"02/28/2014",8,0,0,0,10,14.2,991
"03/01/2014",2,0,0,0,10,5.6,772
"03/02/2014",12,0,1,0,9.5,5,863
"03/03/2014",10,0,0,0,10,12.5,1002
"03/04/2014",6,0,0,0,10,7.4,966
"03/05/2014",6,0,0,0,10,4,969
"03/06/2014",6,0,0,0,10,8.3,997
"03/07/2014",6,0,0,0,10,6.1,1012
"03/08/2014",2,0,0,0,10,6.6,808
"03/09/2014",10,0,0,0,10,9.9,948
"03/10/2014",1,0,0,0,10,8.8,1077
"03/11/2014",1,0,0,0,10,7.3,1046
"03/12/2014",1,0,0,0,10,5.9,1056
"03/13/2014",10,1,0,0,8.3,17.9,1071
"03/14/2014",8,0,0,0,10,14.9,1077
"03/15/2014",18,0,0,0,10,15.7,860
