"date","cluster","rain","snow","thunderstorm","visibility","crosswind","scheduled"
"04/19/2015",12,0,0,0,10,9.9,NA
"04/20/2015",5,1,0,0,4.8,14.9,NA
"04/21/2015",11,1,0,0,3.1,10.1,NA
"04/22/2015",12,0,0,0,10,11.3,NA
"04/23/2015",18,0,0,0,10,16.1,NA
"04/24/2015",10,0,0,0,10,14,NA
"04/25/2015",18,0,0,0,10,14.4,NA
"04/26/2015",12,0,0,0,10,4.9,NA
"04/27/2015",10,0,0,0,10,7.5,NA
"04/28/2015",18,0,0,0,10,17.1,NA
"04/29/2015",12,0,0,0,10,6.5,NA
"04/30/2015",18,0,0,0,10,12.5,NA
"05/01/2015",12,0,0,0,10,6.5,NA
"05/02/2015",12,0,0,0,10,7.1,NA
"05/03/2015",12,0,0,0,10,7,NA
"05/04/2015",12,0,0,0,10,8.8,NA
"05/05/2015",12,0,0,0,10,10.3,NA
"05/06/2015",12,1,0,0,10,5.9,NA
"05/07/2015",12,0,0,0,10,5.3,NA
"05/08/2015",4,0,0,0,5.8,5.7,NA
"05/09/2015",4,0,0,0,4.5,6.3,NA
"05/10/2015",4,0,0,0,4.2,5.9,NA
"05/11/2015",12,0,0,0,10,8.8,NA
"05/12/2015",18,0,0,0,8.7,14.3,NA
"05/13/2015",18,0,0,0,10,17.5,NA
"05/14/2015",8,0,0,0,10,11.3,NA
"05/15/2015",12,0,0,0,10,6.8,NA
"05/16/2015",12,0,0,0,10,7.3,NA
"05/17/2015",4,1,0,1,5.5,4,NA
"05/18/2015",4,0,0,0,5.8,7.4,NA
"05/19/2015",4,0,0,0,4.4,5.6,NA
"05/20/2015",10,0,0,0,10,12.7,NA
"05/21/2015",12,0,0,0,10,9.5,NA
"05/22/2015",10,0,0,0,10,11.6,NA
